cases,deaths,countriesAndTerritories,dateRep,countryterritoryCode,popData2019,contintent
265,3,Venezuela,2020-12-07,VEN,28515829.0,Americas
1,0,Vietnam,2020-12-07,VNM,96462106.0,Asia
1940,16,West Bank and Gaza,2020-12-07,PSE,4685306.0,Asia
0,0,Western Sahara,2020-12-07,ESH,,
33,6,Yemen,2020-12-07,YEM,29161922.0,Asia
18,0,Zambia,2020-12-07,ZMB,17861030.0,Africa
101,0,Zimbabwe,2020-12-07,ZWE,14645468.0,Africa
235,18,Afghanistan,2020-12-06,AFG,38041754.0,Asia
846,19,Albania,2020-12-06,ALB,2854191.0,Europe
772,9,Algeria,2020-12-06,DZA,43053054.0,Africa
50,1,Andorra,2020-12-06,AND,77142.0,Europe
43,1,Angola,2020-12-06,AGO,31825295.0,Africa
0,0,Antigua and Barbuda,2020-12-06,ATG,97118.0,Americas
5201,120,Argentina,2020-12-06,ARG,44938712.0,Americas
1267,32,Armenia,2020-12-06,ARM,2957731.0,Asia
9,0,Australia,2020-12-06,AUS,25364307.0,Oceania
3444,106,Austria,2020-12-06,AUT,8877067.0,Europe
4323,42,Azerbaijan,2020-12-06,AZE,10023318.0,Asia
5,0,Bahamas,2020-12-06,BHS,389482.0,Americas
132,0,Bahrain,2020-12-06,BHR,1641172.0,Asia
1798,35,Bangladesh,2020-12-06,BGD,163046161.0,Asia
1,0,Barbados,2020-12-06,BRB,287025.0,Americas
1896,8,Belarus,2020-12-06,BLR,9466856.0,Europe
2503,112,Belgium,2020-12-06,BEL,11484055.0,Europe
218,2,Belize,2020-12-06,BLZ,390353.0,Americas
0,0,Benin,2020-12-06,BEN,11801151.0,Africa
2,0,Bhutan,2020-12-06,BTN,763092.0,Asia
167,5,Bolivia,2020-12-06,BOL,11513100.0,Americas
975,57,Bosnia and Herzegovina,2020-12-06,BIH,3301000.0,Europe
0,0,Botswana,2020-12-06,BWA,2303697.0,Africa
43209,664,Brazil,2020-12-06,BRA,211049527.0,Americas
0,0,Brunei,2020-12-06,BRN,433285.0,Asia
2037,79,Bulgaria,2020-12-06,BGR,6975761.0,Europe
65,0,Burkina Faso,2020-12-06,BFA,20321378.0,Africa
1527,22,Burma,2020-12-06,MMR,54045420.0,Asia
2,0,Burundi,2020-12-06,BDI,11530580.0,Africa
40,1,Cabo Verde,2020-12-06,CPV,549935.0,Africa
1,0,Cambodia,2020-12-06,KHM,16486542.0,Asia
0,0,Cameroon,2020-12-06,CMR,25876380.0,Africa
6354,88,Canada,2020-12-06,CAN,37589262.0,Americas
4,0,Central African Republic,2020-12-06,CAF,4745185.0,Africa
3,0,Chad,2020-12-06,TCD,15946876.0,Africa
1533,34,Chile,2020-12-06,CHL,18952038.0,Americas
119,0,China,2020-12-06,CHN,1397715000.0,Asia
9642,166,Colombia,2020-12-06,COL,50339443.0,Americas
1,0,Comoros,2020-12-06,COM,850886.0,Africa
0,0,Congo (Brazzaville),2020-12-06,COG,5380508.0,Africa
132,5,Congo (Kinshasa),2020-12-06,COD,86790567.0,Africa
0,0,Costa Rica,2020-12-06,CRI,5047561.0,Americas
29,0,Cote d'Ivoire,2020-12-06,CIV,25716544.0,Africa
4084,70,Croatia,2020-12-06,HRV,4067500.0,Europe
104,0,Cuba,2020-12-06,CUB,11333483.0,Americas
369,0,Cyprus,2020-12-06,CYP,1198575.0,Asia
1773,77,Czechia,2020-12-06,CZE,10669709.0,Europe
2115,11,Denmark,2020-12-06,DNK,5818553.0,Europe
2,0,Djibouti,2020-12-06,DJI,973560.0,Africa
0,0,Dominica,2020-12-06,DMA,71808.0,Americas
975,2,Dominican Republic,2020-12-06,DOM,10738958.0,Americas
909,60,Ecuador,2020-12-06,ECU,17373662.0,Americas
431,18,Egypt,2020-12-06,EGY,100388073.0,Africa
0,11,El Salvador,2020-12-06,SLV,6453553.0,Americas
0,0,Equatorial Guinea,2020-12-06,GNQ,1355986.0,Africa
0,0,Eritrea,2020-12-06,ERI,,Africa
561,1,Estonia,2020-12-06,EST,1326590.0,Europe
15,0,Eswatini,2020-12-06,SWZ,1148130.0,Africa
649,11,Ethiopia,2020-12-06,ETH,112078730.0,Africa
0,0,Fiji,2020-12-06,FJI,889953.0,Oceania
460,7,Finland,2020-12-06,FIN,5520314.0,Europe
12850,214,France,2020-12-06,FRA,67059887.0,Europe
0,0,Gabon,2020-12-06,GAB,2172579.0,Africa
2,0,Gambia,2020-12-06,GMB,2347706.0,Africa
5450,37,Georgia,2020-12-06,GEO,3720382.0,Asia
26126,262,Germany,2020-12-06,DEU,83132799.0,Europe
0,0,Ghana,2020-12-06,GHA,30417856.0,Africa
1383,98,Greece,2020-12-06,GRC,10716322.0,Europe
0,0,Grenada,2020-12-06,GRD,112003.0,Americas
547,15,Guatemala,2020-12-06,GTM,16604026.0,Americas
47,0,Guinea,2020-12-06,GIN,12771246.0,Africa
0,0,Guinea-Bissau,2020-12-06,GNB,1920922.0,Africa
36,0,Guyana,2020-12-06,GUY,782766.0,Americas
23,0,Haiti,2020-12-06,HTI,11263077.0,Americas
